Artist,Grammy.song.nom,Followers,race
Adele,8,17965158,0
Britney Spears,1,6578314,0
Bruce Springsteen,5,2576304,0
Bruno Mars,5,22677758,1
Childish Gambino,4,5537876,1
Coldplay,4,22458057,0
Drake,3,41420478,1
Ed Sheeran,2,52698756,0
Eminem,5,30220119,0
John Legend,3,4709602,1
John Mayer,5,4128148,0
Justin Timberlake,3,8365398,0
Kanye West,4,10455779,1
Keith Urban,4,3353002,0
Kelly Clarkson,1,5629156,0
Kendrick Lamar,5,13325462,1
Lady Gaga,3,9370435,0
Lil Wayne,1,8360644,1
Linkin Park,1,13781152,0
Little Big Town,3,1553147,0
Mariah Carey,2,4851294,1
Maroon 5,2,20445189,0
Miguel,1,2472516,1
Paramore,1,4702645,0
Pharrell Williams,1,2900721,1
Rihanna,1,34436700,1
Solange,1,871081,1
Stevie Wonder,1,3808641,0
Sugarland,1,1037915,0
Taylor Swift,4,23709128,0
